Occupant Config,,,Crash Config,Sensor accuracy: adaptive system,,,,Non-adaptive system,,Seatbelt Component
58.66666667,1534,167.3333333,56,0.093611668,0.140417502,0.097790087,0.146685131,0.151573311,0.227359967,CLL
58.66666667,1534,175,40,0.017323613,0.02598542,0.021264851,0.031897277,0.012500584,0.018750876,CLL
58.66666667,1534,175,50,0.023911715,0.035867572,0.023700476,0.035550714,0.018733971,0.028100957,CLL
58.66666667,1534,175,56,0.039359898,0.059039847,0.038504516,0.057756773,0.050645175,0.075967763,CLL
58.66666667,1628,152,40,0.030112355,0.045168533,0.027562276,0.041343414,0.016487598,0.024731398,CLL
58.66666667,1628,152,50,0.152818058,0.229227087,0.206244203,0.309366305,0.024562878,0.036844318,CLL
58.66666667,1628,152,56,0.043882014,0.06582302,0.044015342,0.066023013,0.144770137,0.217155205,CLL
58.66666667,1628,159.6666667,40,0.011609197,0.017413795,0.01211478,0.018172171,0.029272318,0.043908477,CLL
58.66666667,1628,159.6666667,50,0.055516481,0.083274722,0.055525124,0.083287686,0.115227839,0.172841758,CLL
58.66666667,1628,159.6666667,56,0.139334163,0.209001244,0.171612565,0.257418847,0.221309832,0.331964748,CLL
58.66666667,1628,167.3333333,40,0.013498485,0.020247728,0.013500392,0.020250589,0.028680384,0.043020576,CLL
58.66666667,1628,167.3333333,50,0.08264459,0.123966886,0.124920709,0.187381063,0.083092658,0.124638987,CLL
58.66666667,1628,167.3333333,56,0.134679757,0.202019635,0.137032345,0.205548518,0.157311478,0.235967217,CLL
58.66666667,1628,175,40,0.007116139,0.010674208,0.008434415,0.012651622,0.018657565,0.027986348,CLL
58.66666667,1628,175,50,0.014010012,0.021015018,0.017004848,0.025507271,0.029539571,0.044309357,CLL
58.66666667,1628,175,56,0.066107155,0.099160732,0.066166949,0.099250423,0.079260332,0.118890498,CLL
58.66666667,1722,152,40,0.014157868,0.021236802,0.018715031,0.028072547,0.024891794,0.037337691,CLL
58.66666667,1722,152,50,0.03590107,0.053851604,0.043683827,0.06552574,0.082022404,0.123033607,CLL
58.66666667,1722,152,56,0.138710335,0.208065502,0.140259236,0.210388854,0.267102911,0.400654366,CLL
58.66666667,1722,159.6666667,40,0.029194355,0.043791533,0.031371713,0.047057569,0.030456126,0.045684189,CLL
58.66666667,1722,159.6666667,50,0.060049674,0.09007451,0.060936894,0.091405341,0.15391732,0.230875981,CLL
58.66666667,1722,159.6666667,56,0.279137321,0.418705981,0.287070477,0.430605716,0.260224995,0.390337492,CLL
58.66666667,1722,167.3333333,40,0.020024359,0.030036539,0.021849019,0.032773528,0.029969335,0.044954002,CLL
58.66666667,1722,167.3333333,50,0.063534127,0.09530119,0.081029468,0.121544202,0.108997279,0.163495919,CLL
58.66666667,1722,167.3333333,56,0.153329504,0.229994257,0.167298168,0.250947252,0.197880017,0.296820026,CLL
58.66666667,1722,175,40,0.010698974,0.016048461,0.013867438,0.020801157,0.027639985,0.041459978,CLL
58.66666667,1722,175,50,0.031394064,0.047091097,0.044317475,0.066476213,0.047230586,0.07084588,CLL
58.66666667,1722,175,56,0.060764733,0.091147099,0.074796762,0.112195144,0.102923565,0.154385348,CLL
58.66666667,1816,152,40,0.066160241,0.099240361,0.069677028,0.104515542,0.058050478,0.087075717,CLL
58.66666667,1816,152,50,0.216070547,0.324105821,0.202395876,0.303593814,0.223800093,0.335700139,CLL
58.66666667,1816,152,56,0.259682526,0.389523789,0.323762638,0.485643957,0.397964755,0.596947132,CLL
58.66666667,1816,159.6666667,40,0.047439027,0.07115854,0.053118577,0.079677866,0.051924765,0.077887147,CLL
58.66666667,1816,159.6666667,50,0.171000498,0.256500748,0.181552899,0.272329349,0.196305061,0.294457591,CLL
58.66666667,1816,159.6666667,56,0.196007244,0.294010866,0.19871562,0.29807343,0.310246639,0.465369959,CLL
58.66666667,1816,167.3333333,40,0.01744628,0.026169419,0.015657783,0.023486674,0.035746964,0.053620446,CLL
58.66666667,1816,167.3333333,50,0.085967151,0.128950726,0.107130735,0.160696102,0.142006953,0.21301043,CLL
58.66666667,1816,167.3333333,56,0.147729621,0.221594432,0.156975658,0.235463486,0.228732434,0.343098651,CLL
58.66666667,1816,175,40,0.039589584,0.059384376,0.03815788,0.05723682,0.032564878,0.048847318,CLL
58.66666667,1816,175,50,0.014326864,0.021490296,0.016412468,0.024618701,0.069932227,0.10489834,CLL
58.66666667,1816,175,56,0.105122898,0.157684347,0.124317054,0.18647558,0.137111339,0.205667008,CLL
68.33333333,1440,152,40,0.016690373,0.02503556,0.019179106,0.028768659,0.013076484,0.019614726,CLL
68.33333333,1440,152,50,0.026355863,0.039533794,0.026108563,0.039162844,0.037083464,0.055625196,CLL
68.33333333,1440,152,56,0.054942032,0.082413049,0.050288536,0.075432804,0.226660488,0.339990733,CLL
68.33333333,1440,159.6666667,40,0.023411214,0.035116822,0.021692038,0.032538056,0.031748772,0.047623158,CLL
68.33333333,1440,159.6666667,50,0.050055683,0.075083524,0.050599277,0.075898916,0.123187849,0.184781773,CLL
68.33333333,1440,159.6666667,56,0.202581712,0.303872568,0.199730379,0.299595568,0.262576731,0.393865096,CLL
68.33333333,1440,167.3333333,40,0.024117589,0.036176383,0.028695524,0.043043286,0.030922472,0.046383709,CLL
68.33333333,1440,167.3333333,50,0.049752295,0.074628443,0.049662352,0.074493527,0.092958159,0.139437238,CLL
68.33333333,1440,167.3333333,56,0.111101021,0.166651532,0.113987209,0.170980814,0.181993801,0.272990702,CLL
68.33333333,1440,175,40,0.000378549,0.000567824,0.001233101,0.001849651,0.014838338,0.022257507,CLL
68.33333333,1440,175,50,0.019800365,0.029700547,0.021603465,0.032405198,0.024338082,0.036507124,CLL
68.33333333,1440,175,56,0.045333777,0.068000666,0.031183749,0.046775623,0.055932175,0.083898262,CLL
68.33333333,1534,152,40,0.00636667,0.009550005,0.006400704,0.009601057,0.013393104,0.020089656,CLL
68.33333333,1534,152,50,0.029443085,0.044164628,0.030245185,0.045367777,0.087460471,0.131190706,CLL
68.33333333,1534,152,56,0.116209553,0.174314329,0.08768247,0.131523705,0.321347048,0.482020572,CLL
68.33333333,1534,159.6666667,40,0.022761627,0.03414244,0.017432332,0.026148498,0.032875657,0.049313486,CLL
68.33333333,1534,159.6666667,50,0.059069519,0.088604278,0.063240368,0.094860552,0.148483733,0.222725599,CLL
68.33333333,1534,159.6666667,56,0.143230412,0.214845618,0.158937176,0.238405764,0.274641906,0.411962859,CLL
68.33333333,1534,167.3333333,40,0.014206936,0.021310404,0.040756058,0.061134087,0.032241583,0.048362374,CLL
68.33333333,1534,167.3333333,50,0.060216725,0.090325087,0.059877694,0.08981654,0.10811583,0.162173744,CLL
68.33333333,1534,167.3333333,56,0.142643358,0.213965037,0.151483693,0.227225539,0.174880396,0.262320594,CLL
68.33333333,1534,175,40,0.005308092,0.007962137,0.009873748,0.014810622,0.014342546,0.02151382,CLL
68.33333333,1534,175,50,0.031348944,0.047023416,0.037017167,0.05552575,0.023953353,0.03593003,CLL
68.33333333,1534,175,56,0.049574762,0.074362143,0.052232921,0.078349382,0.0620701,0.09310515,CLL
68.33333333,1628,152,40,0.030486107,0.04572916,0.032002151,0.048003227,0.018380523,0.027570784,CLL
68.33333333,1628,152,50,0.050021529,0.075032294,0.050631881,0.075947821,0.123954352,0.185931528,CLL
68.33333333,1628,152,56,0.082848168,0.124272252,0.082592486,0.123888729,0.448644773,0.672967159,CLL
68.33333333,1628,159.6666667,40,0.055438491,0.083157736,0.165059321,0.247588981,0.034069657,0.051104486,CLL
68.33333333,1628,159.6666667,50,0.076909568,0.115364352,0.08510087,0.127651305,0.188266828,0.282400242,CLL
68.33333333,1628,159.6666667,56,0.184902127,0.27735319,0.183661637,0.275492456,0.309336159,0.464004238,CLL
68.33333333,1628,167.3333333,40,0.018303454,0.027455181,0.019919753,0.02987963,0.033568263,0.050352395,CLL
68.33333333,1628,167.3333333,50,0.063215394,0.094823091,0.064155811,0.096233716,0.119512314,0.179268471,CLL
68.33333333,1628,167.3333333,56,0.25377197,0.380657956,0.313366111,0.470049166,0.196235189,0.294352784,CLL
68.33333333,1628,175,40,0.009023845,0.013535768,0.008895636,0.013343453,0.020256698,0.030385047,CLL
68.33333333,1628,175,50,0.040787041,0.061180562,0.042635441,0.063953161,0.031630367,0.047445551,CLL
68.33333333,1628,175,56,0.069124819,0.103687228,0.072223888,0.108335832,0.072308021,0.108462032,CLL
68.33333333,1628,181.5,40,0.021538854,0.03230828,0.022928596,0.034392893,0.024885476,0.037328213,CLL
68.33333333,1628,181.5,50,0.03684628,0.05526942,0.041005015,0.061507523,0.040374219,0.060561328,CLL
68.33333333,1628,181.5,56,0.053846557,0.080769836,0.054996764,0.082495146,0.077224607,0.11583691,CLL
68.33333333,1628,188,40,0.011611283,0.017416924,0.007817924,0.011726886,0.006974578,0.010461867,CLL
68.33333333,1628,188,50,0.011331189,0.016996784,0.034905844,0.052358765,0.003414989,0.005122483,CLL
68.33333333,1628,188,56,0.022227579,0.033341369,0.027071092,0.040606638,0.039536072,0.059304109,CLL
68.33333333,1722,152,40,0.026371956,0.039557934,0.037273765,0.055910647,0.02691853,0.040377796,CLL
68.33333333,1722,152,50,0.230135104,0.345202656,0.255699213,0.383548819,0.231864506,0.347796758,CLL
68.33333333,1722,152,56,0.177806432,0.266709647,0.2164826,0.324723901,0.379527988,0.569291982,CLL
68.33333333,1722,159.6666667,40,0.036311328,0.054466993,0.041205704,0.061808556,0.046315399,0.069473099,CLL
68.33333333,1722,159.6666667,50,0.14343537,0.215153055,0.16334885,0.245023275,0.195099002,0.292648503,CLL
68.33333333,1722,159.6666667,56,0.22350424,0.33525636,0.223599372,0.335399058,0.358486313,0.537729469,CLL
68.33333333,1722,167.3333333,40,0.019878387,0.029817581,0.041466375,0.062199563,0.045292243,0.067938364,CLL
68.33333333,1722,167.3333333,50,0.102019075,0.153028612,0.15286775,0.229301625,0.139757725,0.209636587,CLL
68.33333333,1722,167.3333333,56,0.153775658,0.230663487,0.164925586,0.247388379,0.223103836,0.334655754,CLL
68.33333333,1722,175,40,0.009329259,0.013993889,0.00914228,0.013713419,0.029081821,0.043622732,CLL
68.33333333,1722,175,50,0.027661432,0.041492148,0.027482725,0.041224088,0.045942888,0.068914332,CLL
68.33333333,1722,175,56,0.093603493,0.140405239,0.091887504,0.137831256,0.093835157,0.140752736,CLL
68.33333333,1722,181.5,40,0.017776132,0.026664197,0.01809442,0.027141631,0.025790215,0.038685322,CLL
68.33333333,1722,181.5,50,0.139867412,0.209801118,0.031714081,0.047571122,0.046156895,0.069235343,CLL
68.33333333,1722,181.5,56,0.085795528,0.128693293,0.093824117,0.140736175,0.091986689,0.137980033,CLL
68.33333333,1722,188,40,0.004095256,0.006142884,0.004119277,0.006178916,0.008533001,0.012799501,CLL
68.33333333,1722,188,50,0.012319744,0.018479615,0.013537288,0.020305932,0.009512006,0.014268009,CLL
68.33333333,1722,188,56,0.042246795,0.063370193,0.064404994,0.096607491,0.040578425,0.060867638,CLL
68.33333333,1816,152,40,0.046910972,0.070366457,0.070133532,0.105200298,0.070921521,0.106382281,CLL
68.33333333,1816,152,50,0.146080481,0.219120722,0.143355543,0.215033314,0.257596745,0.386395117,CLL
68.33333333,1816,152,56,0.395211711,0.592817566,0.404680299,0.607020449,0.443177711,0.664766566,CLL
68.33333333,1816,159.6666667,40,0.066826076,0.100239115,0.08230554,0.12345831,0.081369187,0.122053781,CLL
68.33333333,1816,159.6666667,50,0.162143028,0.243214542,0.163916483,0.245874724,0.250941658,0.376412487,CLL
68.33333333,1816,159.6666667,56,0.291664504,0.437496755,0.303460177,0.455190265,0.35881589,0.538223835,CLL
68.33333333,1816,167.3333333,40,0.02745235,0.041178524,0.026971161,0.040456742,0.061758835,0.092638253,CLL
68.33333333,1816,167.3333333,50,0.11029696,0.165445439,0.117904952,0.176857428,0.154287284,0.231430927,CLL
68.33333333,1816,167.3333333,56,0.185431619,0.278147428,0.187423698,0.281135547,0.251762368,0.377643552,CLL
68.33333333,1816,175,40,0.00871253,0.013068795,0.00883168,0.01324752,0.033564925,0.050347388,CLL
68.33333333,1816,175,50,0.074294567,0.111441851,0.073106766,0.109660149,0.066040762,0.099061143,CLL
68.33333333,1816,175,56,0.113170109,0.169755163,0.112834738,0.169252107,0.125641623,0.188462435,CLL
68.33333333,1816,181.5,40,0.01517278,0.022759169,0.01540488,0.02310732,0.026757479,0.040136218,CLL
68.33333333,1816,181.5,50,0.040281415,0.060422122,0.042646706,0.063970059,0.060073197,0.090109795,CLL
68.33333333,1816,181.5,56,0.117806327,0.17670949,0.084905868,0.127358802,0.106656872,0.159985308,CLL
68.33333333,1816,188,40,0,0,0,0,0.011501568,0.017252352,CLL
68.33333333,1816,188,50,0.011891305,0.017836958,0.011812449,0.017718673,0.020615548,0.030923322,CLL
68.33333333,1816,188,56,0.097449381,0.146174072,0.11893835,0.178407525,0.048458957,0.072688435,CLL
78,1440,152,40,0.022636712,0.033955067,0.02069509,0.031042635,0.015807033,0.023710549,CLL
78,1440,152,50,0.036123825,0.054185738,0.035831085,0.053746627,0.201574517,0.302361776,CLL
78,1440,152,56,0.089862885,0.134794327,0.086924563,0.130386844,0.528857485,0.793286227,CLL
78,1440,159.6666667,40,0.026067734,0.039101601,0.039478194,0.059217291,0.037059792,0.055589689,CLL
78,1440,159.6666667,50,0.089594715,0.134392073,0.089620638,0.134430956,0.215105211,0.322657817,CLL
78,1440,159.6666667,56,0.198992026,0.298488039,0.250777542,0.376166312,0.358108222,0.537162333,CLL
78,1440,167.3333333,40,0.026653588,0.039980382,0.024654329,0.036981493,0.035795748,0.053693622,CLL
78,1440,167.3333333,50,0.069962708,0.104944062,0.073599965,0.110399948,0.122986956,0.184480433,CLL
78,1440,167.3333333,56,0.134007392,0.201011088,0.136763818,0.205145727,0.244231067,0.3663466,CLL
78,1440,175,40,0.003061116,0.004591674,0.005552113,0.00832817,0.017069519,0.025604278,CLL
78,1440,175,50,0.015927553,0.02389133,0.015987635,0.023981452,0.030771458,0.046157186,CLL
78,1440,175,56,0.042839723,0.064259585,0.052424649,0.078636974,0.081958031,0.122937047,CLL
78,1534,152,40,0.025135756,0.037703633,0.02413851,0.036207765,0.016806483,0.025209725,CLL
78,1534,152,50,0.111824267,0.1677364,0.132178413,0.19826762,0.300686803,0.451030205,CLL
78,1534,152,56,0.141141619,0.211712428,0.141144666,0.211716999,0.590154926,0.885232389,CLL
78,1534,159.6666667,40,0.034899473,0.05234921,0.033946574,0.050919861,0.059975622,0.089963434,CLL
78,1534,159.6666667,50,0.106478563,0.159717845,0.109764494,0.164646741,0.241531663,0.362297495,CLL
78,1534,159.6666667,56,0.236464081,0.354696121,0.237289235,0.355933852,0.365394274,0.548091411,CLL
78,1534,167.3333333,40,0.03414532,0.051217981,0.083457832,0.125186747,0.048293471,0.072440207,CLL
78,1534,167.3333333,50,0.12292445,0.184386674,0.127679259,0.191518889,0.136015754,0.204023632,CLL
78,1534,167.3333333,56,0.151462023,0.227193034,0.150940982,0.226411473,0.218376958,0.327565437,CLL
78,1534,175,40,0.006700635,0.010050952,0.006668925,0.010003388,0.016481698,0.024722546,CLL
78,1534,175,50,0.025751455,0.038627183,0.039087286,0.058630929,0.02801959,0.042029385,CLL
78,1534,175,56,0.077110042,0.115665063,0.096712957,0.145069435,0.081278445,0.121917668,CLL
78,1628,152,40,0.034493566,0.051740348,0.033305883,0.049958825,0.030302966,0.045454448,CLL
78,1628,152,50,0.051327109,0.076990664,0.05277276,0.079159141,0.280175032,0.420262548,CLL
78,1628,152,56,0.355842338,0.533763507,0.340439008,0.510658511,0.609672479,0.914508719,CLL
78,1628,159.6666667,40,0.040254159,0.060381239,0.053364779,0.080047168,0.071685286,0.107527929,CLL
78,1628,159.6666667,50,0.13051663,0.195774945,0.128559006,0.19283851,0.241665565,0.362498347,CLL
78,1628,159.6666667,56,0.284596861,0.426895292,0.279154178,0.418731267,0.428840815,0.643261222,CLL
78,1628,167.3333333,40,0.028867107,0.043300661,0.029324329,0.043986493,0.05419622,0.081294331,CLL
78,1628,167.3333333,50,0.097810213,0.14671532,0.097906475,0.146859713,0.144601332,0.216901998,CLL
78,1628,167.3333333,56,0.207951514,0.311927271,0.241477825,0.362216738,0.233375278,0.350062916,CLL
78,1628,175,40,0.028851151,0.043276727,0.037501395,0.056252092,0.021787763,0.032681644,CLL
78,1628,175,50,0.047164977,0.070747465,0.050122142,0.075183213,0.034588005,0.051882008,CLL
78,1628,175,56,0.072784261,0.109176391,0.074268134,0.111402201,0.084717866,0.127076799,CLL
78,1628,181.5,40,0.026373327,0.03955999,0.028243303,0.042364955,0.029748321,0.044622481,CLL
78,1628,181.5,50,0.043514073,0.065271109,0.042088257,0.063132385,0.045494535,0.068241802,CLL
78,1628,181.5,56,0.060107533,0.0901613,0.060485464,0.090728196,0.085567294,0.128350941,CLL
78,1628,188,40,0.004511237,0.006766856,0.005403161,0.008104742,0.007163882,0.010745823,CLL
78,1628,188,50,0.010043679,0.015065519,0.009050371,0.013575557,0.006873835,0.010310752,CLL
78,1628,188,56,0.040744051,0.061116076,0.049990236,0.074985354,0.048991479,0.073487219,CLL
78,1722,152,40,0.039451659,0.059177488,0.044898152,0.067347229,0.060242477,0.090363716,CLL
78,1722,152,50,0.081312602,0.121968903,0.081609607,0.12241441,0.334681442,0.502022163,CLL
78,1722,152,56,0.226450329,0.339675493,0.221710996,0.332566494,0.622430891,0.933646337,CLL
78,1722,159.6666667,40,0.047093093,0.07063964,0.049615502,0.074423254,0.099480423,0.149220634,CLL
78,1722,159.6666667,50,0.158108718,0.237163077,0.16039827,0.240597406,0.249137304,0.373705956,CLL
78,1722,159.6666667,56,0.29524736,0.44287104,0.303147768,0.454721653,0.418736045,0.628104068,CLL
78,1722,167.3333333,40,0.039421797,0.059132695,0.039105892,0.058658838,0.070059659,0.105089488,CLL
78,1722,167.3333333,50,0.113638525,0.170457787,0.11807708,0.17711562,0.170101926,0.255152889,CLL
78,1722,167.3333333,56,0.198371538,0.297557307,0.19630364,0.29445546,0.24797823,0.371967345,CLL
78,1722,175,40,0.049374819,0.074062228,0.05300945,0.079514176,0.029633224,0.044449836,CLL
78,1722,175,50,0.068008661,0.102012992,0.066106915,0.099160373,0.04240416,0.063606241,CLL
78,1722,175,56,0.152159194,0.228238791,0.150796759,0.226195138,0.104308203,0.156462305,CLL
78,1722,181.5,40,0.021778941,0.032668412,0.023264289,0.034896433,0.030647159,0.045970738,CLL
78,1722,181.5,50,0.037260534,0.055890802,0.038197212,0.057295819,0.054667187,0.082000781,CLL
78,1722,181.5,56,0.073656582,0.110484873,0.069085888,0.103628833,0.094504646,0.14175697,CLL
78,1722,188,40,0.008906007,0.01335901,0.009180188,0.013770282,0.010884411,0.016326616,CLL
78,1722,188,50,0.013666987,0.020500481,0.01333046,0.019995689,0.017494199,0.026241298,CLL
78,1722,188,56,0.085064905,0.127597357,0.124031316,0.186046973,0.121209112,0.181813667,CLL
78,1816,152,40,0.09020652,0.13530978,0.121388472,0.182082708,0.136098865,0.204148298,CLL
78,1816,152,50,0.184331538,0.276497307,0.184765565,0.277148347,0.356510774,0.534766161,CLL
78,1816,152,56,0.343910972,0.515866458,0.346426343,0.519639514,0.514077613,0.771116419,CLL
78,1816,159.6666667,40,0.057721674,0.086582512,0.06076887,0.091153305,0.14325466,0.214881991,CLL
78,1816,159.6666667,50,0.176001428,0.264002142,0.173188926,0.259783389,0.316181574,0.474272361,CLL
78,1816,159.6666667,56,0.316406106,0.474609159,0.329020294,0.49353044,0.410908994,0.616363491,CLL
78,1816,167.3333333,40,0.053448355,0.080172533,0.071311264,0.106966896,0.083760756,0.125641135,CLL
78,1816,167.3333333,50,0.125348807,0.18802321,0.128676305,0.193014457,0.186838692,0.280258038,CLL
78,1816,167.3333333,56,0.194647128,0.291970693,0.200846266,0.301269399,0.270547452,0.405821178,CLL
78,1816,175,40,0.01103574,0.016553611,0.011212349,0.016818523,0.033725262,0.050587893,CLL
78,1816,175,50,0.091435867,0.1371538,0.079729035,0.119593553,0.063856357,0.095784535,CLL
78,1816,175,56,0.09728796,0.14593194,0.110390059,0.165585088,0.129278727,0.19391809,CLL
78,1816,181.5,40,0.020389915,0.030584872,0.022798479,0.034197718,0.031579912,0.047369868,CLL
78,1816,181.5,50,0.063126388,0.094689582,0.094184576,0.141276863,0.065598835,0.098398253,CLL
78,1816,181.5,56,0.105844416,0.158766624,0.13284255,0.199263826,0.109657527,0.16448629,CLL
78,1816,188,40,0.006502748,0.009754121,0.006524205,0.009786308,0.015355154,0.023032732,CLL
78,1816,188,50,0.021782751,0.032674127,0.021625738,0.032438607,0.027823751,0.041735627,CLL
78,1816,188,56,0.036565121,0.054847682,0.035845128,0.053767692,0.050300508,0.075450761,CLL
89.6,1440,167.3333333,40,0.038209026,0.057313538,0.053078087,0.07961713,0.061920957,0.092881435,CLL
89.6,1440,167.3333333,50,0.101097911,0.151646867,0.102620726,0.153931089,0.181624222,0.272436333,CLL
89.6,1440,167.3333333,56,0.19274934,0.28912401,0.19451409,0.291771135,0.28734007,0.431010105,CLL
89.6,1440,175,40,0.00814116,0.01221174,0.00815618,0.012234271,0.019910693,0.02986604,CLL
89.6,1440,175,50,0.034986317,0.052479476,0.029950202,0.044925302,0.040579449,0.060869174,CLL
89.6,1440,175,56,0.059069308,0.088603962,0.137129105,0.205693657,0.104716252,0.157074378,CLL
89.6,1534,167.3333333,40,0.043378472,0.065067708,0.044438124,0.066657186,0.070942839,0.106414259,CLL
89.6,1534,167.3333333,50,0.125492211,0.188238316,0.15198659,0.227979886,0.180781473,0.27117221,CLL
89.6,1534,167.3333333,56,0.221759059,0.332638589,0.219709373,0.32956406,0.2535047,0.38025705,CLL
89.6,1534,175,40,0.009727418,0.014591128,0.009797156,0.014695734,0.019467413,0.02920112,CLL
89.6,1534,175,50,0.049212992,0.073819488,0.052253366,0.078380048,0.040993838,0.061490756,CLL
89.6,1534,175,56,0.102449728,0.153674593,0.107227849,0.160841774,0.12756488,0.191347319,CLL
89.6,1628,167.3333333,40,0.063125103,0.094687655,0.06582177,0.098732654,0.082218527,0.12332779,CLL
